category,seed,type,base,modifier,note
건강·영양,홍삼,head,홍삼,,
건강·영양,홍삼스틱,head,홍삼스틱,,
건강·영양,공진단,head,공진단,,
건강·영양,경옥고,head,경옥고,,
건강·영양,녹용,head,녹용,,
건강·영양,도라지청,head,도라지청,,
건강·영양,배도라지즙,head,배도라지즙,,
건강·영양,로얄젤리,head,로얄젤리,,
건강·영양,마누카꿀,head,마누카꿀,,
건강·영양,프로폴리스,head,프로폴리스,,
건강·영양,오메가3,head,오메가3,,
건강·영양,유산균,head,유산균,,
건강·영양,프로바이오틱스,head,프로바이오틱스,,
건강·영양,종합비타민,head,종합비타민,,
건강·영양,비타민C,head,비타민C,,
건강·영양,비타민D,head,비타민D,,
건강·영양,루테인,head,루테인,,
건강·영양,밀크씨슬,head,밀크씨슬,,
건강·영양,MSM,head,MSM,,
건강·영양,콜라겐,head,콜라겐,,
건강·영양,히알루론산,head,히알루론산,,
건강·영양,아르기닌,head,아르기닌,,
건강·영양,징코빌로바,head,징코빌로바,,
건강·영양,홍경천,head,홍경천,,
건강·영양,단백질보충제,head,단백질보충제,,
건강·영양,WPI,head,WPI,,
건강·영양,WPC,head,WPC,,
건강·영양,BCAA,head,BCAA,,
건강·영양,크레아틴,head,크레아틴,,
건강·영양,다이어트보조제,head,다이어트보조제,,
건강·영양,가르시니아,head,가르시니아,,
건강·영양,녹차카테킨,head,녹차카테킨,,
건강·영양,혈압측정기,head,혈압측정기,,
건강·영양,혈당측정기,head,혈당측정기,,
건강·영양,체지방측정기,head,체지방측정기,,
건강·영양,저주파자극기,head,저주파자극기,,
건강·영양,철분제,head,철분제,,
건강·영양,칼슘마그네슘,head,칼슘마그네슘,,
건강·영양,비오틴,head,비오틴,,
건강·영양,코엔자임Q10,head,코엔자임Q10,,
건강·영양,나이아신아마이드,head,나이아신아마이드,,
뷰티·스킨케어,선크림,head,선크림,,
뷰티·스킨케어,수분크림,head,수분크림,,
뷰티·스킨케어,모이스처라이저,head,모이스처라이저,,
뷰티·스킨케어,앰플,head,앰플,,
뷰티·스킨케어,세럼,head,세럼,,
뷰티·스킨케어,에센스,head,에센스,,
뷰티·스킨케어,토너,head,토너,,
뷰티·스킨케어,아이크림,head,아이크림,,
뷰티·스킨케어,폼클렌저,head,폼클렌저,,
뷰티·스킨케어,클렌징오일,head,클렌징오일,,
뷰티·스킨케어,미백크림,head,미백크림,,
뷰티·스킨케어,레티놀,head,레티놀,,
뷰티·스킨케어,비타민C세럼,head,비타민C세럼,,
뷰티·스킨케어,헤어에센스,head,헤어에센스,,
뷰티·스킨케어,헤어토닉,head,헤어토닉,,
뷰티·스킨케어,탈모샴푸,head,탈모샴푸,,
뷰티·스킨케어,염모제,head,염모제,,
뷰티·스킨케어,LED마스크,head,LED마스크,,
뷰티·스킨케어,피부관리기,head,피부관리기,,
뷰티·스킨케어,레이저제모기,head,레이저제모기,,
뷰티·스킨케어,고데기,head,고데기,,
뷰티·스킨케어,헤어드라이기,head,헤어드라이기,,
뷰티·스킨케어,헤어롤,head,헤어롤,,
뷰티·스킨케어,시카크림,head,시카크림,,
뷰티·스킨케어,쿠션팩트,head,쿠션팩트,,
뷰티·스킨케어,립밤,head,립밤,,
뷰티·스킨케어,바디로션,head,바디로션,,
생활가전·전자,공기청정기,head,공기청정기,,
생활가전·전자,제습기,head,제습기,,
생활가전·전자,가습기,head,가습기,,
생활가전·전자,로봇청소기,head,로봇청소기,,
생활가전·전자,무선청소기,head,무선청소기,,
생활가전·전자,식기세척기,head,식기세척기,,
생활가전·전자,건조기,head,건조기,,
생활가전·전자,전기레인지,head,전기레인지,,
생활가전·전자,인덕션,head,인덕션,,
생활가전·전자,정수기,head,정수기,,
생활가전·전자,얼음정수기,head,얼음정수기,,
생활가전·전자,비데,head,비데,,
생활가전·전자,안마의자,head,안마의자,,
생활가전·전자,안마기,head,안마기,,
생활가전·전자,냉장고,head,냉장고,,
생활가전·전자,김치냉장고,head,김치냉장고,,
생활가전·전자,세탁기,head,세탁기,,
생활가전·전자,TV,head,TV,,
생활가전·전자,게이밍모니터,head,게이밍모니터,,
생활가전·전자,노트북,head,노트북,,
생활가전·전자,태블릿,head,태블릿,,
생활가전·전자,프로젝터,head,프로젝터,,
생활가전·전자,공유기,head,공유기,,
생활가전·전자,NAS,head,NAS,,
생활가전·전자,IP카메라,head,IP카메라,,
생활가전·전자,CCTV,head,CCTV,,
생활가전·전자,초음파세척기,head,초음파세척기,,
생활가전·전자,스팀청소기,head,스팀청소기,,
생활가전·전자,핸드블렌더,head,핸드블렌더,,
생활가전·전자,전기포트,head,전기포트,,
생활가전·전자,전동칫솔,head,전동칫솔,,
생활가전·전자,전동면도기,head,전동면도기,,
주방·식품,에어프라이어,head,에어프라이어,,
주방·식품,블렌더,head,블렌더,,
주방·식품,믹서기,head,믹서기,,
주방·식품,커피머신,head,커피머신,,
주방·식품,캡슐커피,head,캡슐커피,,
주방·식품,원두커피,head,원두커피,,
주방·식품,드립커피,head,드립커피,,
주방·식품,전기밥솥,head,전기밥솥,,
주방·식품,프라이팬,head,프라이팬,,
주방·식품,냄비세트,head,냄비세트,,
주방·식품,압력솥,head,압력솥,,
주방·식품,칼세트,head,칼세트,,
주방·식품,도마,head,도마,,
주방·식품,밀키트,head,밀키트,,
주방·식품,도시락,head,도시락,,
주방·식품,닭가슴살,head,닭가슴살,,
주방·식품,샐러드,head,샐러드,,
주방·식품,즉석밥,head,즉석밥,,
주방·식품,라면,head,라면,,
주방·식품,김,head,김,,
